product,qty,uom,serial,Owner,# FPAQ,product,tare,genre,etat,date_classement,Proprio,DB
G44,1,,W1898,maple.P0151,151,G44,44,G,O,41365,maple.P0151,FAUX
G44,1,,W1883,base.main_partner,151,G44,44,G,O,41018,base.main_partner,FAUX
G44,1,,W1827,maple.P0066,4064,G44,44,G,L,41066,maple.P0066,FAUX
G44,1,,W1783,maple.partner_lbmtreat_hq,5070,G44,44,G,L,41052,maple.partner_lbmtreat_hq,FAUX
G44,1,,W1753,maple.P0151,151,G44,44,G,O,41398,maple.P0151,FAUX
G44,1,,W1751,maple.P0023,9279,G44,44,G,L,41024,maple.P0023,FAUX
G44,1,,W1748,base.main_partner,1075,G44,44,G,T,41395,base.main_partner,FAUX
G44,1,,W1743,maple.P0022,12725,G44,44,G,L,41381,maple.P0022,FAUX
G44,1,,W1715,base.main_partner,1075,G44,44,G,L,41395,base.main_partner,FAUX
G44,1,,W1697,maple.partner_lbmtreat_hq,15668,G44,44,G,L,41015,maple.partner_lbmtreat_hq,FAUX
G44,1,,W1656,maple.P0022,12725,G44,44,G,L,41009,maple.P0022,FAUX
G44,1,,W1652,base.main_partner,10629,G44,44,G,L,41022,base.main_partner,FAUX
G44,1,,W16474,maple.P0097,9331,G44,44,G,L,41409,maple.P0097,FAUX
G44,1,,W16458,maple.P0097,9331,G44,44,G,L,41037,maple.P0097,FAUX
G44,1,,W16427,maple.P0066,4064,G44,44,G,L,41443,maple.P0066,FAUX
G44,1,,W16414,maple.P0115,18837,G44,44,G,L,41380,maple.P0115,FAUX
G44,1,,w16387,maple.P0151,151,G44,44,G,O,41365,maple.P0151,FAUX
G44,1,,W16328,maple.P0101,16964,G44,44,G,L,41053,maple.P0101,FAUX
G44,1,,W1632,N/D,1092,G44,44,G,L,41043,N/D,FAUX
G44,1,,W16279,maple.P0115,18837,G44,44,G,L,41031,maple.P0115,FAUX
G44,1,,W1617,maple.P0023,9279,G44,44,G,B,41024,maple.P0023,FAUX
G44,1,,W16063,maple.P0115,18837,G44,44,G,L,41380,maple.P0115,FAUX
G44,1,,W16049,maple.P0101,16964,G44,44,G,L,41053,maple.P0101,FAUX
G44,1,,W16017,maple.P0115,18837,G44,44,G,B,41380,maple.P0115,FAUX
G44,1,,W1588,maple.P0022,12725,G44,44,G,L,41009,maple.P0022,FAUX
G44,1,,W15875,maple.P0101,16964,G44,44,G,L,41431,maple.P0101,FAUX
G44,1,,W1579,maple.P0023,9279,G44,44,G,B,41024,maple.P0023,FAUX
G44,1,,W15767,maple.P0101,16964,G44,44,G,L,41431,maple.P0101,FAUX
G44,1,,W15763,maple.P0101,16964,G44,44,G,L,41431,maple.P0101,FAUX
G44,1,,W15696,maple.P0055,14302,G44,44,G,L,41394,maple.P0055,FAUX
G44,1,,W15688,maple.P0101,16964,G44,44,G,L,41051,maple.P0101,FAUX
G44,1,,W15647,base.main_partner,151,G44,44,G,O,41018,base.main_partner,FAUX
G44,1,,W15638,maple.P0061,1075,G44,44,G,B,41395,maple.P0061,FAUX
G44,1,,W15636,maple.partner_lbmtreat_hq,12341,G44,44,G,L,41410,maple.partner_lbmtreat_hq,FAUX
G44,1,,W15635,base.main_partner,9279,G44,44,G,B,41024,base.main_partner,FAUX
G44,1,,W15634,base.main_partner,10629,G44,44,G,L,41022,base.main_partner,FAUX
G44,1,,W15630,maple.P0107,4077,G44,44,G,L,41362,maple.P0107,FAUX
G44,1,,W15626,base.main_partner,1075,G44,44,G,L,41415,base.main_partner,FAUX
